죄종별,기간별,항목,단위,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
공갈,3개월이내,범죄,건,130,105,152,166,,,,,,,,,,,,,,,,,
공갈,3개월초과,범죄,건,518,285,323,397,,,,,,,,,,,,,,,,,
손괴,계,범죄,건,3573,3832,3636,3874,,,,,,,,,,,,,,,,,
손괴,1시간이내,범죄,건,665,752,753,819,,,,,,,,,,,,,,,,,
손괴,2시간이내,범죄,건,82,97,85,62,,,,,,,,,,,,,,,,,
손괴,5시간이내,범죄,건,107,110,97,98,,,,,,,,,,,,,,,,,
손괴,12시간이내,범죄,건,125,156,149,140,,,,,,,,,,,,,,,,,
손괴,24시간이내,범죄,건,362,400,401,381,,,,,,,,,,,,,,,,,
손괴,2일이내,범죄,건,312,300,231,243,,,,,,,,,,,,,,,,,
손괴,5일이내,범죄,건,383,321,332,333,,,,,,,,,,,,,,,,,
손괴,10일이내,범죄,건,233,198,197,250,,,,,,,,,,,,,,,,,
손괴,1개월이내,범죄,건,376,410,362,427,,,,,,,,,,,,,,,,,
손괴,3개월이내,범죄,건,369,381,363,404,,,,,,,,,,,,,,,,,
손괴,3개월초과,범죄,건,559,707,666,717,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,계,범죄,건,146521,141868,136174,149506,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,1시간이내,범죄,건,52940,53774,55674,61956,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,2시간이내,범죄,건,5904,5282,4774,4707,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,5시간이내,범죄,건,5320,4468,4153,4288,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,12시간이내,범죄,건,6764,6014,5997,6437,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,24시간이내,범죄,건,17283,15569,15585,14595,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,2일이내,범죄,건,12766,11475,9953,10343,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,5일이내,범죄,건,14813,13989,12197,13122,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,10일이내,범죄,건,7053,6923,6457,7616,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,1개월이내,범죄,건,8367,7603,6918,8429,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,3개월이내,범죄,건,5738,5311,5521,6426,,,,,,,,,,,,,,,,,
폭행행위등 처벌에 관한 법률,3개월초과,범죄,건,9573,11444,8945,11587,,,,,,,,,,,,,,,,,
교통사범,계,범죄,건,242001,240337,247698,246356,,,,,,,,,,,,,,,,,
교통사범,1시간이내,범죄,건,85631,79485,82463,82076,,,,,,,,,,,,,,,,,
교통사범,2시간이내,범죄,건,15786,13736,15088,13107,,,,,,,,,,,,,,,,,
교통사범,5시간이내,범죄,건,8301,6998,8175,7768,,,,,,,,,,,,,,,,,
교통사범,12시간이내,범죄,건,3160,2768,3644,3509,,,,,,,,,,,,,,,,,
교통사범,24시간이내,범죄,건,22225,23863,24826,20593,,,,,,,,,,,,,,,,,
교통사범,2일이내,범죄,건,13684,13170,14096,13338,,,,,,,,,,,,,,,,,
교통사범,5일이내,범죄,건,22761,19782,21292,24241,,,,,,,,,,,,,,,,,
교통사범,10일이내,범죄,건,20839,18706,21230,24968,,,,,,,,,,,,,,,,,
교통사범,1개월이내,범죄,건,30866,34821,34924,38090,,,,,,,,,,,,,,,,,
교통사범,3개월이내,범죄,건,13192,16379,14884,12619,,,,,,,,,,,,,,,,,
교통사범,3개월초과,범죄,건,5556,10629,7076,6047,,,,,,,,,,,,,,,,,
교통사고처리특례법,계,범죄,건,242001,240337,247698,246356,,,,,,,,,,,,,,,,,
교통사고처리특례법,1시간이내,범죄,건,85631,79485,82463,82076,,,,,,,,,,,,,,,,,
교통사고처리특례법,2시간이내,범죄,건,15786,13736,15088,13107,,,,,,,,,,,,,,,,,
교통사고처리특례법,5시간이내,범죄,건,8301,6998,8175,7768,,,,,,,,,,,,,,,,,
교통사고처리특례법,12시간이내,범죄,건,3160,2768,3644,3509,,,,,,,,,,,,,,,,,
교통사고처리특례법,24시간이내,범죄,건,22225,23863,24826,20593,,,,,,,,,,,,,,,,,
교통사고처리특례법,2일이내,범죄,건,13684,13170,14096,13338,,,,,,,,,,,,,,,,,
교통사고처리특례법,5일이내,범죄,건,22761,19782,21292,24241,,,,,,,,,,,,,,,,,
교통사고처리특례법,10일이내,범죄,건,20839,18706,21230,24968,,,,,,,,,,,,,,,,,
교통사고처리특례법,1개월이내,범죄,건,30866,34821,34924,38090,,,,,,,,,,,,,,,,,
교통사고처리특례법,3개월이내,범죄,건,13192,16379,14884,12619,,,,,,,,,,,,,,,,,
교통사고처리특례법,3개월초과,범죄,건,5556,10629,7076,6047,,,,,,,,,,,,,,,,,
지능범,계,범죄,건,66555,76333,104279,134026,158399,196845,227064,213445,253297,249769,92574,209364,220719,273867,290643,244680,258705,233213,260327,282106,268191
지능범,1시간이내,범죄,건,2748,4737,7292,8237,2958,3048,2716,3094,5539,12593,8919,10839,11844,12612,602,888,759,785,717,674,5932
